{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 4600, 'end': 4800, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.41364, 'sum-sq-ratio': 206.92398, 'sample-size': 200, 'sum-start': 150.0, 'sum-end': 150.0, 'sum-cov': 150.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 4800, 'end': 5000, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.43057, 'sum-sq-ratio': 206.95863, 'sample-size': 200, 'sum-start': 152.0, 'sum-end': 152.0, 'sum-cov': 152.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 5000, 'end': 5200, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.85617, 'sum-sq-ratio': 207.82503, 'sample-size': 200, 'sum-start': 164.0, 'sum-end': 164.0, 'sum-cov': 164.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 5200, 'end': 5400, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.55685, 'sum-sq-ratio': 207.213, 'sample-size': 200, 'sum-start': 153.0, 'sum-end': 153.0, 'sum-cov': 153.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 5400, 'end': 5600, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.62376, 'sum-sq-ratio': 207.35104, 'sample-size': 200, 'sum-start': 160.0, 'sum-end': 160.0, 'sum-cov': 160.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 5600, 'end': 5800, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.1001, 'sum-sq-ratio': 206.27274, 'sample-size': 200, 'sum-start': 158.0, 'sum-end': 158.0, 'sum-cov': 158.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 5800, 'end': 6000, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.37985, 'sum-sq-ratio': 206.84485, 'sample-size': 200, 'sum-start': 146.0, 'sum-end': 146.0, 'sum-cov': 146.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 6000, 'end': 6200, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.43857, 'sum-sq-ratio': 206.97128, 'sample-size': 200, 'sum-start': 168.0, 'sum-end': 168.0, 'sum-cov': 168.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 6200, 'end': 6400, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.33768, 'sum-sq-ratio': 206.76447, 'sample-size': 200, 'sum-start': 147.0, 'sum-end': 147.0, 'sum-cov': 147.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 6400, 'end': 6600, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.1864, 'sum-sq-ratio': 206.44943, 'sample-size': 200, 'sum-start': 161.0, 'sum-end': 161.0, 'sum-cov': 161.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 6600, 'end': 6800, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 202.92796, 'sum-sq-ratio': 205.92828, 'sample-size': 200, 'sum-start': 169.0, 'sum-end': 169.0, 'sum-cov': 169.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 6800, 'end': 7000, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.27408, 'sum-sq-ratio': 206.62852, 'sample-size': 200, 'sum-start': 155.0, 'sum-end': 155.0, 'sum-cov': 155.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 7000, 'end': 7200, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.28528, 'sum-sq-ratio': 206.65665, 'sample-size': 200, 'sum-start': 156.0, 'sum-end': 156.0, 'sum-cov': 156.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 7200, 'end': 7400, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.47775, 'sum-sq-ratio': 207.04785, 'sample-size': 200, 'sum-start': 153.0, 'sum-end': 153.0, 'sum-cov': 153.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 7400, 'end': 7600, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.09518, 'sum-sq-ratio': 206.26328, 'sample-size': 200, 'sum-start': 169.0, 'sum-end': 169.0, 'sum-cov': 169.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 7600, 'end': 7800, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.14526, 'sum-sq-ratio': 206.37039, 'sample-size': 200, 'sum-start': 154.0, 'sum-end': 154.0, 'sum-cov': 154.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 7800, 'end': 8000, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.38939, 'sum-sq-ratio': 206.87, 'sample-size': 200, 'sum-start': 150.0, 'sum-end': 150.0, 'sum-cov': 150.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 8000, 'end': 8200, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.38571, 'sum-sq-ratio': 206.85622, 'sample-size': 200, 'sum-start': 149.0, 'sum-end': 149.0, 'sum-cov': 149.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 8200, 'end': 8400, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.20346, 'sum-sq-ratio': 206.48457, 'sample-size': 200, 'sum-start': 155.0, 'sum-end': 155.0, 'sum-cov': 155.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 8400, 'end': 8600, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.41116, 'sum-sq-ratio': 206.91249, 'sample-size': 200, 'sum-start': 147.0, 'sum-end': 147.0, 'sum-cov': 147.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 8600, 'end': 8800, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.26053, 'sum-sq-ratio': 206.5984, 'sample-size': 200, 'sum-start': 161.0, 'sum-end': 161.0, 'sum-cov': 161.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 8800, 'end': 9000, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 203.41122, 'sum-sq-ratio': 206.90797, 'sample-size': 200, 'sum-start': 160.0, 'sum-end': 160.0, 'sum-cov': 160.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 9000, 'end': 9045, 'seed-data': 5192, 'seed-model': 98047, 'sum-ratio': 45.649925, 'sum-sq-ratio': 46.313232, 'sample-size': 45, 'sum-start': 35.0, 'sum-end': 35.0, 'sum-cov': 35.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 0, 'end': 200, 'seed-data': 50057, 'seed-model': 73349, 'sum-ratio': 203.0136, 'sum-sq-ratio': 206.11319, 'sample-size': 200, 'sum-start': 153.0, 'sum-end': 153.0, 'sum-cov': 153.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 200, 'end': 400, 'seed-data': 50057, 'seed-model': 73349, 'sum-ratio': 203.0837, 'sum-sq-ratio': 206.25714, 'sample-size': 200, 'sum-start': 156.0, 'sum-end': 156.0, 'sum-cov': 156.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 400, 'end': 600, 'seed-data': 50057, 'seed-model': 73349, 'sum-ratio': 203.09392, 'sum-sq-ratio': 206.27133, 'sample-size': 200, 'sum-start': 152.0, 'sum-end': 152.0, 'sum-cov': 152.0}
